county,hospitality_budget,total_budget
bomet,,4.5 billion
bungoma,332.7 million,10.3 billion
busia,22.4 million,6.3 billion
elgeyo marakwet,11.5million,3.8 billion
embu,47.6million,5 billion
garissa,108million,7.9 billion
homa bay,19.8million,5 billion
isiolo,55million,3.3 billion
kajiado,60million,5.7 billion
kakamega,71million,10.6 billion
kericho,68million,4.8 billion
kiambu,53million,10.4 billion
kilifi,89.9million,9.9 billion
kirinyaga,,4.1 billion
kisii,50.4 million,7.5 billion
kisumu,46.5 million,7.9 billion
kitui,98.8 million,9.6 billion
kwale,82.1 million,6.5 billion
laikipia,59.4 million,4.3 billion
lamu,,2.5 billion
machakos,41.4 million,9.3 billion
makueni,64.4 million,7.0 billion
mandera,183 million,11.3 billion
marsabit,51.8 million,5.8 billion
meru,108.7 million,7.7 billion
migori,66.8 million,5.8 billion
mombasa,55.1 million,9.9 billion
murang'a,62.0 million,5.9 billion
nairobi,98 million,25.6 billion
nakuru,31.5 million,11 billion
nandi,7.3 million,5.2 billion
narok,90.3 million,8 billion
nyamira,12 million,4.7 billion
nyandarua,78.3 million,4.5 billion
nyeri,77.8 million,5.4 billion
samburu,16.1 million,4.1 billion
siaya,32.1 million,5.9 billion
taita taveta,25.1 million,4.2 billion
tana river,17.9 million,4.6 billion
tharaka nithi,37.9 million,4 billion
trans nzoia,103.7 million,5.3 billion
turkana,24.5 million,13.1 billion
uasin gishu,,6.9 billion
vihiga,24.8 million,4.8 billion
wajir,40 million,7.3 billion
west pokot,66 million,4.3 billion
